patent_id,patent_date,fields,forward5,Y,CTO,STO,PK,SK,TCT,MF,TS,NC,COL,INV,TKH,CKH,PKH,TTS,CTS,PTS,mean_conf_pro,mean_conf_anti,var_conf_pro,var_conf_anti,conf_gap_change,H_final,delta_H,cross_domain_support,cross_domain_attack,same_domain_support,same_domain_attack,acceptability_gap,fact_ratio_pro,fact_ratio_anti,final_prediction,prediction_volatility,final_pred_technology,final_pred_application,final_pred_user,final_pred_ecosystem,final_pred_businessmodel,total_rounds,term_unanimous,term_extended_debate,semantic_coherence
10012160,2018-07-03,08,0,0,0.7256944444444444,0.8541666666666666,24,2,5785.5,F02D41,1,12,0,3,1089,23,1066,975,31,944,0.7583,0.6125,0.001181,0.004219,0.0,0.8001,0.112,8.0,12.0,2.0,3.0,10.0,2.0,0.0,1,0.4,1,1,0,1,1,1,1,0,0.6705
10012178,2018-07-03,13,1,0,,,0,0,,F02M21,1,8,0,6,21860,1008,20852,153904,6987,146917,0.7,0.57,0.002,0.0036,-0.025,0.9121,0.0253,6.0,14.0,2.0,3.0,2.0,2.5,2.0,1,0.6,1,0,1,1,1,1,1,0,0.6855
10012192,2018-07-03,14,0,0,0.375,0.625,4,1,3409.0,F16L55,5,7,0,1,412,8,404,5005,103,4902,0.65,0.6056,0.0,0.015802,0.4575,0.8385,0.1586,15.0,5.0,3.0,2.0,-18.0,0.5,0.0,0,0.2,0,0,0,0,1,1,1,0,0.7136
10017044,2018-07-10,07,4,0,0.625,0.75,4,0,3398.5,B60K6,1,18,0,7,12260,1063,11197,61245,3926,57319,0.7889,0.65,0.001543,0.0,-0.72,0.6771,0.1587,16.0,4.0,4.0,1.0,20.0,3.0,0.0,1,0.2,1,1,1,1,1,1,1,0,0.7843
10018125,2018-07-10,01,0,0,0.375,0.625,4,23,5190.5,F02D17,3,9,0,1,0,0,0,0,0,0,0.7409,0.6125,0.001736,0.001719,0.6,0.9001,-0.0889,11.0,9.0,4.0,1.0,11.0,2.0,0.0,1,0.5,1,1,1,1,0,2,0,1,0.7931
10018127,2018-07-10,01,3,0,0.6399999999999999,0.6399999999999999,5,4,4452.0,F02D41,5,13,0,2,1325,92,1233,10035,496,9539,0.7675,0.525,0.000444,0.000625,-0.553,0.7621,0.1233,13.0,7.0,3.0,2.0,14.0,2.0,0.0,1,0.4,1,1,1,1,1,1,1,0,0.6927
10018128,2018-07-10,"08,09",0,0,0.0,0.0,1,7,441.0,F01N3,7,6,0,3,12260,1063,11197,61245,3926,57319,0.7944,0.5,0.001914,0.0,-0.58,0.6547,0.1943,16.0,4.0,4.0,1.0,20.0,2.5,0.0,1,0.2,1,1,1,1,1,1,1,0,0.7022
10018129,2018-07-10,13,2,0,0.6122448979591837,0.7346938775510204,7,5,4676.0,F02D41,3,14,0,3,64,2,62,111,1,110,0.7143,0.6,0.001224,0.001667,0.1375,0.9024,-0.0229,12.0,8.0,3.0,2.0,15.0,1.5,0.0,1,0.2,1,1,0,1,1,1,1,0,0.7112
10018132,2018-07-10,"08,09",0,0,,,0,1,,F02M26,3,15,0,3,12260,1063,11197,61245,3926,57319,0.7637,0.625,0.000973,0.000625,-0.647,0.7691,0.0987,12.0,8.0,3.0,2.0,13.0,1.0,0.0,1,0.4,1,1,1,1,1,1,1,0,0.6397
10018134,2018-07-10,09,0,0,0.625,0.75,4,2,5288.5,F01N3,6,13,0,4,12260,1063,11197,61245,3926,57319,0.785,0.0,0.002525,0.0,-0.05,0.6865,0.1069,20.0,0.0,3.0,2.0,23.0,4.5,0.0,1,0.0,1,1,1,1,1,1,1,0,0.7601
10018140,2018-07-10,14,0,0,0.625,0.84375,8,0,3209.5,F02D41,2,6,0,7,11458,757,10701,130182,9452,120730,0.7125,0.5571,0.001719,0.001735,-0.5225,0.8638,0.0823,6.0,14.0,1.5,3.5,7.5,0.6667,0.0,1,0.4,1,1,1,1,1,2,0,1,0.7883
10018154,2018-07-10,13,0,0,0.5,0.5,2,0,4063.5,F02M21,5,10,0,4,7235,701,6534,14287,873,13414,0.75,0.6062,0.0,0.002773,-0.4467,0.9458,-0.0329,11.0,9.0,3.0,2.0,6.0,1.0,0.0,0,0.4,0,0,0,0,0,1,1,0,0.7387
10018155,2018-07-10,02,0,0,0.7999999999999999,0.7999999999999999,5,6,4550.0,F02M25,2,20,0,2,12975,1829,11146,77979,13237,64742,0.7,0.525,0.0025,0.001875,-0.465,0.885,0.0715,4.0,16.0,1.0,4.0,5.0,0.0,0.0,1,0.8,1,1,1,1,1,1,1,0,0.7671
10018156,2018-07-10,02,1,0,0.75,0.78125,8,6,1228.5,F02B47,2,20,0,4,12975,1829,11146,77979,13237,64742,0.78,0.0,0.0011,0.0,-0.06,0.6995,0.1118,16.0,4.0,4.0,1.0,20.0,2.0,0.0,1,0.0,1,1,1,1,1,1,1,0,0.7205
10018162,2018-07-10,01,0,0,0.4444444444444444,0.4444444444444444,3,1,1253.0,F02M26,3,15,0,2,12260,1063,11197,61245,3926,57319,0.65,0.5833,0.0,0.006667,0.525,0.933,0.048,11.0,9.0,4.0,1.0,-15.0,0.5,0.0,0,0.2,0,0,1,0,0,1,1,0,0.7002
10023175,2018-07-17,07,0,0,0.6799999999999999,0.875,20,0,5092.5,B60K6,4,1,0,6,13041,1840,11201,78258,13277,64981,0.775,0.0,0.000625,0.0,-0.05,0.7219,0.0894,16.0,4.0,4.0,1.0,20.0,3.0,0.0,1,0.0,1,1,1,1,1,1,1,0,0.7367
10023184,2018-07-17,07,4,0,0.7633136094674556,0.8875739644970415,26,13,5222.0,B60W20,6,28,0,6,230,36,194,229,34,195,0.7922,0.7,0.001928,0.0,0.6185,0.6865,0.1145,19.0,1.0,2.0,3.0,21.0,3.0,0.0,1,0.2,1,1,1,0,1,1,1,0,0.71
10023185,2018-07-17,07,0,0,0.5,0.5,2,2,9005.5,B60W20,8,10,1,1,7699,709,6990,16243,911,15332,0.737,0.6,0.002221,0.0045,0.1925,0.9434,-0.0567,11.3333,8.6667,3.3333,1.6667,13.3333,2.25,0.0,0,0.1333,0,0,0,1,0,3,0,1,0.716
10024184,2018-07-17,09,1,0,0.5065398335315101,0.55410225921522,34,2,5530.0,F02D23,7,20,0,1,1949,353,1596,17543,1576,15967,0.7,0.55,0.002143,0.001667,-0.48,0.899,0.0183,8.0,12.0,2.0,3.0,10.0,1.0,0.0,1,0.6,1,1,1,1,1,1,1,0,0.7622
10024225,2018-07-17,"01,08,09",1,0,0.3399999999999998,0.82,10,3,2723.0,F02B33,5,8,0,2,35462,342,35120,352234,2281,349953,0.78,0.0,0.0011,0.0,-0.06,0.6995,0.1118,16.0,4.0,4.0,1.0,20.0,2.0,0.0,1,0.0,1,1,1,1,1,1,1,0,0.7391
10024226,2018-07-17,09,1,0,0.5277777777777779,0.7638888888888888,12,4,2590.0,F02B37,4,20,0,3,13041,1840,11201,78258,13277,64981,0.7667,0.65,0.001111,0.0,0.59,0.7644,0.0609,16.0,4.0,4.0,1.0,20.0,1.5,0.0,1,0.2,1,1,1,0,1,1,1,0,0.6763
10024227,2018-07-17,09,1,0,0.5619834710743803,0.743801652892562,11,4,2590.0,F02B37,3,17,0,4,13041,1840,11201,78258,13277,64981,0.785,0.0,0.003025,0.0,-0.07,0.6641,0.1471,19.0,1.0,4.0,1.0,23.0,4.5,0.0,1,0.0,1,1,1,1,1,1,1,0,0.6201
10024230,2018-07-17,"08,09",0,0,0.2448979591836735,0.5714285714285714,8,0,1988.0,F02B29,7,5,0,1,23458,1838,21620,160774,13493,147281,0.7583,0.575,0.001181,0.003125,0.0875,0.8141,0.1032,8.0,12.0,2.0,3.0,10.0,3.0,0.0,1,0.4,1,0,1,1,1,1,1,0,0.6728
10024252,2018-07-17,08,1,0,0.75,0.75,4,1,6944.0,F02M26,2,20,0,2,13041,1840,11201,78258,13277,64981,0.6929,0.55,0.001735,0.005,-0.47,0.913,-0.0016,9.0,11.0,2.0,3.0,9.0,3.5,0.0,1,0.6,1,1,1,1,1,1,1,0,0.836
10024253,2018-07-17,08,1,0,0.6730103806228374,0.9152249134948096,34,1,3986.5,F02D41,7,20,0,5,636,165,471,3657,1160,2497,0.7889,0.5,0.001543,0.0,-0.57,0.6771,0.1719,16.0,4.0,4.0,1.0,20.0,2.5,0.0,1,0.2,1,1,1,1,1,1,1,0,0.7692
10024254,2018-07-17,08,0,0,0.6399999999999999,0.72,5,1,1680.0,F02P5,3,5,0,3,13041,1840,11201,78258,13277,64981,0.7788,0.55,0.000536,0.0025,-0.596,0.7296,0.1514,12.0,8.0,3.0,2.0,15.0,2.0,0.0,1,0.4,1,1,1,1,1,1,1,0,0.7565
10024255,2018-07-17,08,18,1,0.71875,0.8229166666666666,24,19,1725.5,F02D41,5,20,0,4,13041,1840,11201,78258,13277,64981,0.7811,0.55,0.001077,0.0,-0.606,0.7072,0.1404,17.0,3.0,3.0,2.0,18.0,4.0,0.0,1,0.2,1,1,1,1,1,1,1,0,0.6673
10024258,2018-07-17,01,0,0,0.4444444444444444,0.4444444444444444,3,2,2128.0,F02D41,2,23,0,2,87,11,76,9,1,8,0.795,0.0,0.002225,0.0,-0.09,0.6323,0.179,19.0,1.0,3.0,2.0,22.0,3.5,0.0,1,0.0,1,1,1,1,1,1,1,0,0.6679
10024263,2018-07-17,09,0,0,0.0,0.0,2,0,1645.0,F02D41,4,6,0,1,7275,707,6568,14340,880,13460,0.7778,0.6,0.001728,0.0,-0.6725,0.6995,0.1577,16.0,4.0,4.0,1.0,20.0,4.0,0.0,1,0.2,1,1,1,1,1,1,1,0,0.6763
10024264,2018-07-17,01,0,0,0.7755102040816326,0.8163265306122449,7,6,3619.0,F02D19,4,15,0,1,1378,123,1255,1200,131,1069,0.6833,0.5833,0.002222,0.010972,0.38,0.9385,0.0322,9.5,10.5,2.5,2.5,-10.0,0.3333,0.0,0,0.3,1,0,0,0,0,2,0,1,0.6969
10024266,2018-07-17,14,0,0,0.625,0.75,4,1,6324.5,F02D41,6,16,0,3,13686,300,13386,77124,2173,74951,0.7615,0.65,0.001213,0.0,-0.02,0.771,0.0403,13.0,7.0,3.0,2.0,16.0,2.6667,0.0,1,0.4,1,1,1,1,1,2,0,1,0.7122
10024275,2018-07-17,08,0,0,0.5714285714285714,0.6938775510204082,7,1,3486.0,F02M26,2,19,0,2,13041,1840,11201,78258,13277,64981,0.78,0.5,0.001089,0.0,-0.554,0.7107,0.1383,16.0,4.0,4.0,1.0,20.0,4.0,0.0,1,0.2,1,1,1,1,1,1,1,0,0.6833
10024276,2018-07-17,01,0,0,0.0,0.6875,9,0,5281.5,F02M35,1,19,0,1,0,0,0,0,0,0,0.7417,0.5125,0.000347,0.000469,0.025,0.8476,0.0909,8.0,12.0,2.0,3.0,10.0,2.0,0.0,1,0.4,1,0,1,1,1,1,1,0,0.698
10024289,2018-07-17,01,12,1,,,0,40,,F02B75,2,20,0,2,1390,31,1359,20780,533,20247,0.7788,0.575,0.000536,0.005625,-0.621,0.7296,0.144,12.0,8.0,3.0,2.0,15.0,3.0,0.0,1,0.4,1,1,1,1,1,1,1,0,0.6885
10024294,2018-07-17,01,0,0,,,0,0,,B60T7,5,3,0,4,11466,759,10707,130325,9464,120861,0.65,0.5692,0.0,0.00213,-0.01,0.981,0.0014,9.5,10.5,3.5,1.5,-10.0,0.6667,0.0,0,0.4,0,0,0,0,0,2,0,1,0.6826
10024365,2018-07-17,09,0,0,0.6577777777777779,0.8711111111111111,16,1,3717.0,F16C35,3,17,0,1,5977,186,5791,68919,1804,67115,0.7083,0.55,0.002014,0.0025,-0.5,0.8744,0.0762,4.0,16.0,2.0,3.0,4.0,3.0,0.0,1,0.8,1,1,1,1,1,1,1,0,0.7975
10029668,2018-07-24,01,2,0,,,0,1,,B60W20,4,4,0,1,23503,1843,21660,161056,13516,147540,0.7556,0.55,0.001358,0.0,-0.605,0.7577,0.1179,16.0,4.0,4.0,1.0,20.0,2.0,0.0,1,0.2,1,1,1,1,1,1,1,0,0.7783
10029671,2018-07-24,01,0,0,0.625,0.75,4,1,4595.5,F02M26,6,20,0,14,13078,1844,11234,78486,13309,65177,0.7944,0.5,0.001914,0.0,-0.58,0.6547,0.1943,16.0,4.0,4.0,1.0,20.0,2.0,0.0,1,0.2,1,1,1,1,1,1,1,0,0.814
10029675,2018-07-24,01,0,0,0.875,0.875,12,0,1778.0,B60W20,4,3,0,3,23503,1843,21660,161056,13516,147540,0.7833,0.5,0.001111,0.0,-0.56,0.6995,0.1495,16.0,4.0,4.0,1.0,20.0,2.0,0.0,1,0.2,1,1,1,1,1,1,1,0,0.7904
10029692,2018-07-24,01,1,0,0.5,0.5,2,1,4865.0,B60W30,5,10,0,3,23282,880,22402,179343,8684,170659,0.706,0.56,0.002744,0.0024,0.0425,0.9005,0.0457,6.0,14.0,2.0,3.0,0.0,0.0,2.0,1,0.6,1,1,1,1,0,1,1,0,0.6216
10030574,2018-07-24,14,2,0,0.0,0.75,4,2,4550.0,F02B23,1,17,0,3,583,26,557,583,20,563,0.7714,0.5833,0.001327,0.002222,-0.6133,0.7538,0.1546,8.0,12.0,2.0,3.0,10.0,1.0,0.0,1,0.6,1,1,1,1,1,1,1,0,0.6838
10030598,2018-07-24,01,5,0,,,0,3,,F02D41,5,17,0,2,621,32,589,1774,4,1770,0.7375,0.5682,0.002969,0.001942,-0.3833,0.9899,-0.0814,7.5,12.5,2.5,2.5,9.0,1.3333,0.0,0,0.2,0,0,0,0,0,2,0,1,0.8019
10030610,2018-07-24,13,0,0,0.7346938775510204,0.8163265306122449,8,0,3031.0,F02M21,5,11,0,1,9,1,8,0,0,0,0.7312,0.5618,0.001836,0.002215,-0.3767,0.9825,-0.0726,7.75,12.25,2.75,2.25,5.5,1.0,0.0,0,0.1,0,0,0,0,0,4,0,1,0.8091
10030613,2018-07-24,13,0,0,0.8177777777777777,0.8977777777777778,15,6,6685.0,F02B73,7,24,0,4,96,40,56,858,399,459,0.7125,0.5917,0.001719,0.003681,-0.38,0.9458,-0.059,10.3333,9.6667,3.0,2.0,10.6667,1.0,0.0,0,0.2,0,0,0,0,0,3,0,1,0.827
10030617,2018-07-24,08,3,0,0.722107438016529,0.9132231404958676,44,7,4767.0,F02B1,5,20,0,7,43627,566,43061,544581,8201,536380,0.7625,0.55,0.002344,0.0025,-0.57,0.7644,0.1166,12.0,8.0,3.0,2.0,15.0,1.5,0.0,1,0.4,1,1,1,1,1,1,1,0,0.7094
10030624,2018-07-24,01,0,0,0.75,0.75,4,3,2345.0,F02N11,5,12,0,4,3176,190,2986,27873,739,27134,0.78,0.0,0.0021,0.0,-0.08,0.6771,0.1482,18.0,2.0,4.0,1.0,22.0,3.5,0.0,1,0.0,1,1,1,1,1,1,1,0,0.6163
10035413,2018-07-31,07,0,0,0.58,0.7999999999999999,32,9,11977.0,F01B13,10,19,0,2,0,0,0,0,0,0,0.765,0.0,0.001025,0.0,-0.03,0.7538,0.0575,15.0,5.0,4.0,1.0,19.0,2.5,0.0,1,0.0,1,1,1,1,1,1,1,0,0.7095
10036306,2018-07-31,01,0,0,0.6666666666666667,0.6666666666666667,4,0,7315.0,F02B29,1,17,0,6,13120,1847,11273,78658,13329,65329,0.71,0.54,0.0014,0.0014,0.0625,0.9001,0.0549,4.0,16.0,1.0,4.0,5.0,0.5,0.0,1,0.6,1,1,0,1,1,1,1,0,0.7031
10036307,2018-07-31,08,2,0,0.4444444444444444,0.4444444444444444,3,0,2534.0,F02B47,6,3,0,4,23530,1848,21682,161213,13532,147681,0.7,0.5563,0.0025,0.003398,0.1125,0.9707,-0.0231,9.0,11.0,1.0,4.0,0.0,1.0,0.0,0,0.0,0,1,0,0,0,1,1,0,0.6919
